epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,66.8407,2.23473,1.89179,1.10647,0.0122,0.23872,0.08389,0.01393,2.91784,3.39929,1.63432,0.000402782,0.000402782,0.000402782
63,67.8229,2.30272,1.99494,1.10625,0.01442,0.28289,0.09716,0.01924,2.91623,3.2946,1.60518,0.000399153,0.000399153,0.000399153
64,68.7981,2.18099,1.91473,1.06577,0.01442,0.28289,0.09716,0.01924,2.91623,3.2946,1.60518,0.000395194,0.000395194,0.000395194
65,69.7407,2.34095,2.22813,1.34874,0.01442,0.28289,0.09716,0.01924,2.91623,3.2946,1.60518,0.000390905,0.000390905,0.000390905
66,70.9944,2.3818,1.9137,1.13497,0.01342,0.26504,0.08514,0.01909,2.90675,3.17493,1.56065,0.000386286,0.000386286,0.000386286
67,71.95,2.11279,1.86308,1.11275,0.01342,0.26504,0.08514,0.01909,2.90675,3.17493,1.56065,0.000381336,0.000381336,0.000381336
68,72.8819,2.18567,1.90838,1.09677,0.01342,0.26504,0.08514,0.01909,2.90675,3.17493,1.56065,0.000376057,0.000376057,0.000376057
69,73.8269,2.22816,1.96389,1.15842,0.01677,0.32707,0.09502,0.01986,2.92185,3.05864,1.57932,0.000370447,0.000370447,0.000370447
70,74.7606,2.21922,1.83463,1.07904,0.01677,0.32707,0.09502,0.01986,2.92185,3.05864,1.57932,0.000364508,0.000364508,0.000364508
71,75.6663,2.14671,1.89093,1.07782,0.01677,0.32707,0.09502,0.01986,2.92185,3.05864,1.57932,0.000358238,0.000358238,0.000358238
72,76.6173,2.08549,1.74329,1.05633,0.16646,0.26504,0.10335,0.02261,2.9141,3.03117,1.56916,0.000351639,0.000351639,0.000351639
73,77.5276,2.22258,2.15988,1.12602,0.16646,0.26504,0.10335,0.02261,2.9141,3.03117,1.56916,0.000344709,0.000344709,0.000344709
74,78.4579,2.15038,1.8739,1.0644,0.16646,0.26504,0.10335,0.02261,2.9141,3.03117,1.56916,0.000337449,0.000337449,0.000337449
75,79.3607,2.03753,1.73527,1.1328,0.85147,0.05357,0.14431,0.0297,2.87727,3.02529,1.57448,0.000329859,0.000329859,0.000329859
76,80.2396,1.95929,1.88502,1.11726,0.85147,0.05357,0.14431,0.0297,2.87727,3.02529,1.57448,0.000321939,0.000321939,0.000321939
77,81.1181,2.15916,1.83956,1.12999,0.85147,0.05357,0.14431,0.0297,2.87727,3.02529,1.57448,0.000313689,0.000313689,0.000313689
78,82.0198,2.0774,1.7761,1.04742,0.80218,0.05357,0.13958,0.02956,2.83525,2.98291,1.55367,0.000305109,0.000305109,0.000305109
79,82.9094,2.09616,1.74254,1.04696,0.80218,0.05357,0.13958,0.02956,2.83525,2.98291,1.55367,0.000296199,0.000296199,0.000296199
